,year,currency,value
0,2010,USD,1224.52
1,2011,USD,1571.52
2,2012,USD,1668.98
3,2013,USD,1411.23
4,2014,USD,1266.4
5,2015,USD,1160.06
6,2016,USD,1250.8
7,2017,USD,1257.15
8,2018,USD,1268.49
9,2019,USD,1392.6
10,2020,USD,1769.59
11,2021,USD,1798.61
12,2022,USD,1800.09
13,2023,USD,1940.54
14,2010,EUR,925.07
15,2011,EUR,1129.72
16,2012,EUR,1298.4
17,2013,EUR,1063.6
18,2014,EUR,952.91
19,2015,EUR,1045.18
20,2016,EUR,1129.1
21,2017,EUR,1114.23
22,2018,EUR,1073.57
23,2019,EUR,1244.88
24,2020,EUR,1549.04
25,2021,EUR,1520.66
26,2022,EUR,1710.39
27,2023,EUR,1794.95
28,2010,JPY,107090.07
29,2011,JPY,124898.76
30,2012,JPY,133089.63
31,2013,JPY,137198.82
32,2014,JPY,133678.26
33,2015,JPY,140383.8
34,2016,JPY,135418.3
35,2017,JPY,140957.37
36,2018,JPY,140039.7
37,2019,JPY,151689.33
38,2020,JPY,188771.16
39,2021,JPY,197452.31
40,2022,JPY,236043.96
41,2023,JPY,272977.95
42,2010,GBP,792.32
43,2011,GBP,980.64
44,2012,GBP,1052.89
45,2013,GBP,903.71
46,2014,GBP,768.23
47,2015,GBP,758.88
48,2016,GBP,926.96
49,2017,GBP,976.15
50,2018,GBP,949.69
51,2019,GBP,1092.96
52,2020,GBP,1379.05
53,2021,GBP,1307.47
54,2022,GBP,1457.88
55,2023,GBP,1560.71
56,2010,CAD,1260.96
57,2011,CAD,1556.33
58,2012,CAD,1667.11
59,2013,CAD,1450.96
60,2014,CAD,1397.36
61,2015,CAD,1480.79
62,2016,CAD,1655.09
63,2017,CAD,1631.29
64,2018,CAD,1642.26
65,2019,CAD,1847.14
66,2020,CAD,2371.23
67,2021,CAD,2254.25
68,2022,CAD,2340.57
69,2023,CAD,2619.22
70,2010,CHF,1273.85
71,2011,CHF,1388.58
72,2012,CHF,1564.9
73,2013,CHF,1308.97
74,2014,CHF,1157.3
75,2015,CHF,1115.49
76,2016,CHF,1230.68
77,2017,CHF,1237.23
78,2018,CHF,1240.46
79,2019,CHF,1383.37
80,2020,CHF,1658.14
81,2021,CHF,1643.88
82,2022,CHF,1718.5
83,2023,CHF,1744.25
84,2010,INR,55973.95
85,2011,INR,73468.52
86,2012,INR,89057.53
87,2013,INR,82241.61
88,2014,INR,77229.8
89,2015,INR,74313.04
90,2016,INR,84006.9
91,2017,INR,81853.62
